Chr,Ne,S,L,nAll,nprimeAll,nSep,nprimeSep
4,200,100,5000,12497500,11652,9373125,8757
4,200,100,8500,36120750,12467,27090563,9249
4,200,200,100,4950,599,3713,1234
4,200,200,250,31125,2658,23344,4633
4,200,200,500,124750,6631,93563,10376
4,200,200,1000,499500,13478,374625,21212
4,200,200,2000,1999000,29238,1499250,49466
4,200,200,3000,4498500,47892,3373875,76107
4,200,200,5000,12497500,89148,9373125,124520
4,200,200,8500,36120750,154768,27090563,240002
4,800,25,100,4950,3930,3713,2936
4,800,25,250,31125,9414,23344,8304
4,800,25,500,124750,15407,93563,15218
4,800,25,1000,499500,17742,374625,18786
4,800,25,2000,1999000,19703,1499250,21492
4,800,25,3000,4498500,20356,3373875,22232
4,800,25,5000,12497500,20493,9373125,22502
4,800,25,8500,36120750,20995,27090563,23114
4,800,25,17000,144491500,28133,108368625,29066
4,800,50,100,4950,2802,3713,2794
4,800,50,250,31125,9297,23344,9353
4,800,50,500,124750,14378,93563,14968
4,800,50,1000,499500,20201,374625,19939
4,800,50,2000,1999000,22397,1499250,22676
4,800,50,3000,4498500,23043,3373875,23420
4,800,50,5000,12497500,23786,9373125,24304
4,800,50,8500,36120750,23799,27090563,24429
4,800,50,17000,144491500,24329,108368625,24967
4,800,100,100,4950,1917,3713,2088
4,800,100,250,31125,6949,23344,6746
4,800,100,500,124750,13563,93563,14481
4,800,100,1000,499500,19938,374625,20027
4,800,100,2000,1999000,23889,1499250,23803
4,800,100,3000,4498500,24380,3373875,24608
4,800,100,5000,12497500,25449,9373125,25374
4,800,100,8500,36120750,26414,27090563,26100
4,800,100,17000,144491500,27188,108368625,26281
4,800,200,100,4950,1011,3713,1640
4,800,200,250,31125,4979,23344,6384
4,800,200,500,124750,11428,93563,13619
4,800,200,1000,499500,20664,374625,22725
4,800,200,2000,1999000,27560,1499250,27679
4,800,200,3000,4498500,31331,3373875,28765
4,800,200,5000,12497500,33461,9373125,29897
4,800,200,8500,36120750,36932,27090563,31887
4,800,200,17000,144491500,44860,108368625,38226
4,800,800,100,4950,277,3713,1058
4,800,800,250,31125,1366,23344,4432
4,800,800,500,124750,4765,93563,13052
4,800,800,1000,499500,11414,374625,33915
4,800,800,2000,1999000,29509,1499250,77885
4,800,800,3000,4498500,46505,3373875,126722
4,800,800,5000,12497500,81978,9373125,210361
4,800,800,8500,36120750,132405,27090563,390396
4,800,800,17000,144491500,304215,108368625,893834
4,3200,25,100,4950,4610,3713,4633
4,3200,25,250,31125,20186,23344,22083
4,3200,25,500,124750,47249,93563,64388
4,3200,25,1000,499500,72643,374625,118983
4,3200,25,2000,1999000,89372,1499250,174669
4,3200,25,3000,4498500,95132,3373875,192045
4,3200,25,5000,12497500,99747,9373125,209279
4,3200,25,10000,49995000,102295,37496250,214630
4,3200,25,25000,312487500,103293,234365625,222389
4,3200,25,50000,1249975000,104432,937481250,226424
4,3200,50,100,4950,3792,3713,3110
4,3200,50,250,31125,16489,23344,14915
4,3200,50,500,124750,37181,93563,38184
4,3200,50,1000,499500,57149,374625,70909
4,3200,50,2000,1999000,70974,1499250,97389
4,3200,50,3000,4498500,74758,3373875,106364
4,3200,50,5000,12497500,77331,9373125,111741
4,3200,50,10000,49995000,79447,37496250,118988
4,3200,50,25000,312487500,80908,234365625,120133
4,3200,50,50000,1249975000,81455,937481250,121867
4,3200,100,100,4950,2902,3713,2821
4,3200,100,250,31125,14424,23344,14796
4,3200,100,500,124750,35418,93563,40066
4,3200,100,1000,499500,61379,374625,81533
4,3200,100,2000,1999000,78146,1499250,126424
4,3200,100,3000,4498500,84473,3373875,138299
4,3200,100,5000,12497500,89802,9373125,156691
4,3200,100,10000,49995000,94274,37496250,167081
4,3200,100,25000,312487500,95180,234365625,171143
